place_iri,place_label,target_authority,target_iri,target_browse_url
urn:voices:place:jouy-france-generic,Jouy France Generic,geonames,https://sws.geonames.org/3012165/,https://www.geonames.org/3012165
urn:voices:place:kaiserslautern-germany,Kaiserslautern Germany,geonames,https://sws.geonames.org/2894003/,https://www.geonames.org/2894003
urn:voices:place:kalvarija-lithuania,Kalvarija Lithuania,geonames,https://sws.geonames.org/598512/,https://www.geonames.org/598512
urn:voices:place:kankakee-illinois-usa,Kankakee Illinois Usa,geonames,https://sws.geonames.org/4898182/,https://www.geonames.org/4898182
urn:voices:place:kemnitz-germany-generic,Kemnitz Germany Generic,geonames,https://sws.geonames.org/6548275/,https://www.geonames.org/6548275
urn:voices:place:kenya,Kenya,geonames,https://sws.geonames.org/184745/,https://www.geonames.org/184745
urn:voices:place:kinneret-israel,Kinneret Israel,geonames,https://sws.geonames.org/294462/,https://www.geonames.org/294462
urn:voices:place:kittsee-austria,Kittsee Austria,geonames,https://sws.geonames.org/2774348/,https://www.geonames.org/2774348
urn:voices:place:koluszki-poland,Koluszki Poland,geonames,https://sws.geonames.org/3095413/,https://www.geonames.org/3095413
urn:voices:place:konin-l-dz-poland,Konin L Dz Poland,geonames,https://sws.geonames.org/3095322/,https://www.geonames.org/3095322
urn:voices:place:lambesc-france,Lambesc France,geonames,https://sws.geonames.org/3008208/,https://www.geonames.org/3008208
urn:voices:place:lassee-austria,Lassee Austria,geonames,https://sws.geonames.org/2772902/,https://www.geonames.org/2772902
urn:voices:place:leoben-austria-generic,Leoben Austria Generic,geonames,https://sws.geonames.org/2772649/,https://www.geonames.org/2772649
urn:voices:place:lieberose-germany,Lieberose Germany,geonames,https://sws.geonames.org/2877932/,https://www.geonames.org/2877932
urn:voices:place:limburg-netherlands-province,Limburg Netherlands Province,geonames,https://sws.geonames.org/2747203/,https://www.geonames.org/2747203
urn:voices:place:manchester-england-uk,Manchester England Uk,geonames,https://sws.geonames.org/2643123/,https://www.geonames.org/2643123
urn:voices:place:martinique,Martinique,geonames,https://sws.geonames.org/3570675/,https://www.geonames.org/3570675
urn:voices:place:micronesia,Micronesia,geonames,https://sws.geonames.org/7729900/,https://www.geonames.org/7729900
urn:voices:place:mielec-poland,Mielec Poland,geonames,https://sws.geonames.org/764849/,https://www.geonames.org/764849
urn:voices:place:minneapolis-minnesota-usa,Minneapolis Minnesota Usa,geonames,https://sws.geonames.org/5037649/,https://www.geonames.org/5037649
urn:voices:place:monte-carlo-monaco,Monte Carlo Monaco,geonames,https://sws.geonames.org/2992741/,https://www.geonames.org/2992741
urn:voices:place:monte-cassino-italy,Monte Cassino Italy,geonames,https://sws.geonames.org/3173005/,https://www.geonames.org/3173005
urn:voices:place:nagycenk-hungary,Nagycenk Hungary,geonames,https://sws.geonames.org/3047781/,https://www.geonames.org/3047781
urn:voices:place:neu-ulm-germany-dp-camp,Neu Ulm Germany Dp Camp,geonames,https://sws.geonames.org/2863941/,https://www.geonames.org/2863941
urn:voices:place:oberlauringen-germany,Oberlauringen Germany,geonames,https://sws.geonames.org/2859953/,https://www.geonames.org/2859953
urn:voices:place:odense-denmark-county-historical,Odense Denmark County Historical,geonames,https://sws.geonames.org/2620244/,https://www.geonames.org/2620244
urn:voices:place:olaszliszka-hungary,Olaszliszka Hungary,geonames,https://sws.geonames.org/716828/,https://www.geonames.org/716828
urn:voices:place:pankow-germany-generic,Pankow Germany Generic,geonames,https://sws.geonames.org/2855598/,https://www.geonames.org/2855598
urn:voices:place:peekskill-new-york-usa,Peekskill New York Usa,geonames,https://sws.geonames.org/5130831/,https://www.geonames.org/5130831
urn:voices:place:philippines,Philippines,geonames,https://sws.geonames.org/1699597/,https://www.geonames.org/1699597
urn:voices:place:piotrowice-poland-generic,Piotrowice Poland Generic,geonames,https://sws.geonames.org/762163/,https://www.geonames.org/762163
urn:voices:place:poing-germany,Poing Germany,geonames,https://sws.geonames.org/6556158/,https://www.geonames.org/6556158
urn:voices:place:port-de-bouc-france,Port De Bouc France,geonames,https://sws.geonames.org/2986025/,https://www.geonames.org/2986025
urn:voices:place:poughkeepsie-usa-generic,Poughkeepsie Usa Generic,geonames,https://sws.geonames.org/5132143/,https://www.geonames.org/5132143
urn:voices:place:princeton-usa-generic,Princeton Usa Generic,geonames,https://sws.geonames.org/5102922/,https://www.geonames.org/5102922
urn:voices:place:pruchnik-poland,Pruchnik Poland,geonames,https://sws.geonames.org/761255/,https://www.geonames.org/761255
urn:voices:place:putnok-hungary,Putnok Hungary,geonames,https://sws.geonames.org/716247/,https://www.geonames.org/716247
urn:voices:place:rakow-poland-generic,Rakow Poland Generic,geonames,https://sws.geonames.org/760657/,https://www.geonames.org/760657
urn:voices:place:rheydt-germany,Rheydt Germany,geonames,https://sws.geonames.org/2847585/,https://www.geonames.org/2847585
urn:voices:place:rhineland-prussia-germany-province,Rhineland Prussia Germany Province,geonames,https://sws.geonames.org/2805753/,https://www.geonames.org/2805753
urn:voices:place:rio-de-janeiro-brazil-state,Rio De Janeiro Brazil State,geonames,https://sws.geonames.org/3451190/,https://www.geonames.org/3451190
